Plaatsnaam, adjectief/inwoner, Plaats vandaag, wikipedia, maps
"Rōma, -ae",Rōmānus,"Rome, Italië","https://nl.wikipedia.org/wiki/Rome_(stad)","https://www.openstreetmap.org/relation/41485"
"Carthāgō/Karthāgō, -inis",Carthāgin(i)ēsis/Karthāgin(i)ēnsis,"Carthago (الموقع الأثري بقرطاج), Tunesië)","https://nl.wikipedia.org/wiki/Carthago","https://www.openstreetmap.org/node/1136727225"
"Aegātēs, -ium (īnsulae)",Aegates,"Egadische Eilanden, Italië","https://nl.wikipedia.org/wiki/Egadische_Eilanden","https://www.openstreetmap.org/relation/3323962"
"Eryx, -ycis",Erycīnus,"Monte Erice, Italië","https://nl.wikipedia.org/wiki/Erice","https://www.openstreetmap.org/node/26862839#map=15/38.03559/12.59327"
"Sicilia, -ae",Siciliēnsis/Siculus,"Sicilië, Italië","https://nl.wikipedia.org/wiki/Sicili%C3%AB","https://www.openstreetmap.org/relation/39152"
"Alpes, -ium",Alpīnus/Alpicus,"Alpen, Europa","https://nl.wikipedia.org/wiki/Alpen","https://www.openstreetmap.org/relation/2698607"
"Italia, -ae",Italicus,Italië,"https://nl.wikipedia.org/wiki/Itali%C3%AB","https://www.openstreetmap.org/relation/365331"
"Gallia, -ae",Gallus,"Grotendeels Frankrijk en België","https://nl.wikipedia.org/wiki/Galli%C3%AB","https://www.openstreetmap.org/relation/2202162#map=6/46.24/1.78"
"Graecia, -ae",Graecus/Grāius,"Griekenland","https://nl.wikipedia.org/wiki/Griekenland","https://www.openstreetmap.org/relation/192307"
"Rhodanus, -ī",Rhodanus,"Rhône (rivier), Frankrijk","https://nl.wikipedia.org/wiki/Rh%C3%B4ne_(rivier)","https://www.openstreetmap.org/relation/1075117"
"Clastidium, -ī",-,"Casteggio, Italië","https://en.wikipedia.org/wiki/Clastidium","https://www.openstreetmap.org/relation/43931"
"Padus, -ī",Padānus,"Po (rivier), Italië","https://nl.wikipedia.org/wiki/Po_(rivier)","https://www.openstreetmap.org/relation/2146941"
"Trebia, -ae (m.)",-,"Trebbia (rivier), Italië","https://nl.wikipedia.org/wiki/Trebbia","https://www.openstreetmap.org/relation/2235489"
"Liguria, -ae","Ligus, -uris","Ligurië, Italië","https://nl.wikipedia.org/wiki/Liguri%C3%AB","https://www.openstreetmap.org/relation/301482"
"Apennīnus, -ī",Apennīnus,"Apennijnen, Italië","https://nl.wikipedia.org/wiki/Apennijnen","https://www.google.be/maps/place/Apennijnen/@42.3635919,7.284414,6z/data=!3m1!4b1!4m6!3m5!1s0x132ed9d326a9469f:0xa46caf27ea740bfc!8m2!3d43.2728024!4d12.5836413!16zL20vMDFjZzg4?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
"Etrūria, -ae",Etrūscus/Tuscus,"Toscane, Italië","https://nl.wikipedia.org/wiki/Etruri%C3%AB","https://www.openstreetmap.org/relation/41977"
"Trasimēnus, -ī",Trasimēnus,"Lago Trasimeno, Italië","https://nl.wikipedia.org/wiki/Trasimeense_Meer","https://www.openstreetmap.org/relation/903525"
"Āpūlia, -ae",Āpulus,"Puglia, Italië","https://nl.wikipedia.org/wiki/Apuli%C3%AB","https://www.openstreetmap.org/relation/40095"